3;"Skikda"
10;"Shirak"
28;"Amazonas"
28;"Bahia"
28;"Espirito Santo"
28;"Maranhao"
28;"Mato Grosso do Sul"
28;"Minas Gerais"
31;"Kourweogo"
31;"Passore"
31;"Yatenga"
36;"Sao Vicente"
37;"Little Cayman"
48;"Alajuela"
68;"Ahvenanmaa"
68;"Pohjois-Karjala"
68;"Uusimaa"
69;"Aquitaine"
69;"Bourgogne"
69;"Centre"
69;"Champagne-Ardenne"
69;"Nord - Pas de Calais"
69;"Poitou-Charentes"
69;"Provence - Alpes - Cote d Azur"
69;"St Pierre et Miquelon"
72;"Estuaire"
87;"Centre"
87;"Sud-Est"
89;"Hong Kong"
99;"Calabria"
99;"Lazio"
99;"Lombardia"
99;"Puglia"
99;"Toscana"
99;"Trentino-Alto Adige"
106;"강원도 (Gangwon-do)"
106;"경기도 (Gyeonggi-do)"
106;"인천 (Incheon)"
106;"전라북도 (Jeollabuk-do)"
106;"제주도 (Jeju-do)"
121;"Melaka"
121;"Negeri Sembilan"
121;"Terengganu"
125;"Marshall Islands"
132;"Chisinau"
138;"Yangon"
145;"Fiordland"
145;"Rotorua"
146;"Atlantico Sur"
146;"Esteli"
146;"Managua"
146;"Masaya"
146;"Rivas"
155;"Azad Kashmir"
155;"Balochistan"
159;"Itapua"
159;"neembucu"
161;"Leyte"
161;"Pangasinan"
161;"Quezon"
162;"Pitcairn Islands"
171;"Saint George Basseterre"
180;"Kosovo"
185;"Dolenjska (Jugovzhodna Slovenija)"
185;"Gorenjska"
185;"Savinjska"
187;"Banaadir"
190;"alava"
190;"Almeria"
190;"Barcelona"
190;"Cordoba"
190;"Huesca"
190;"Madrid"
190;"Toledo"
190;"Valladolid"
190;"Zamora"
199;"Basel-Stadt - Bale-Ville"
199;"Luzern-Lucerne"
199;"Nidwalden - Nidwald"
199;"Uri - Uri"
199;"Wallis - Valais"
201;"台南 (Tainan)"
201;"桃園 (Taoyuan)"
201;"苗栗(Miaoli)"
201;"連江(Lienchiang)"
201;"金門 (Kinmen)"
201;"雲林 (Yunlin)"
221;"Amazonas"
221;"Barinas"
221;"Bolivar"
221;"Cojedes"
221;"Falcon"
221;"Monagas"
221;"Nueva Esparta"
221;"Portuguesa"
225;"Blaenau Gwent"
225;"Bridgend"
225;"Clwyd"
225;"Flintshire"
225;"Neath Port Talbot"
225;"Vale of Glamorgan"
229;"Lusaka"
230;"Manicaland"
230;"Mashonaland Central"
230;"Midlands"
1;"Kabul"
3;"Alger"
3;"Constantine"
6;"Cuanza Sul"
10;"Yerevan"
28;"Acre"
28;"Ceara"
28;"Goias"
28;"Pernambuco"
28;"Rio Grande do Norte"
28;"Roraima"
28;"Santa Catarina"
28;"Sergipe"
32;"Bujumbura"
36;"Sao Tiago"
48;"Cartago"
48;"Heredia"
48;"Puerto Limon - Limon"
48;"San Jose"
68;"Etelä-Karjala"
68;"Etelä-Pohjanmaa"
68;"Etelä-Savo"
68;"Keski-Pohjanmaa"
69;"Franche Comte"
69;"Guyane"
